"condition_id","candidate_id","n_clusters","cluster_size","beta","intercept","random_intercept_sd","residual_sd","x_sd","contamination","contamination_prop","contamination_size","leverage_size","reps","alpha","method_set","condition_seed","model","mean_coef","bias","rejection_rate","rejection_rate_se","rmse","coverage","coverage_se","avg_ci_width","success","failure_rate","singular_rate","mean_retained_clusters","mean_runtime_sec"
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.0263576945146127,-0.0263576945146127,17.2,2.38676349896675,0.0376409112438592,82.8,2.38676349896675,0.106491682796873,250,0,0,20,0.33648
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.0268604404264916,-0.0268604404264916,9.6,1.86315860838523,0.0445706226647035,90.4,1.86315860838523,0.154627073958086,250,0,,20,0.0984799999999996
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.0267746337749887,-0.0267746337749887,13.6,2.16798523980215,0.0383815746954495,86.4,2.16798523980215,0.113199907689164,250,0,,20,0.0647600000000003
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.0267746337749887,-0.0267746337749887,13.6,2.16798523980215,0.0383815746954495,86.4,2.16798523980215,0.113199907689164,250,0,,20,0.0600800000000005
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",-0.0251843865908574,-0.0251843865908574,11.2,1.99455258140767,0.0400784231987245,88.8,1.99455258140767,0.124863617042279,250,0,,20,0.12992
"BLF001","BL01",20,40,0,0,1,1,1,"bad_leverage",0.05,0.25,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",-0.0262779357728064,-0.0262779357728064,14,2.19453867589523,0.0387180146189333,86,2.19453867589523,0.117044407608765,250,0,,20,0.25324
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.0549836651852069,-0.0549836651852069,54,3.15214212877529,0.0612034435151284,46,3.15214212877529,0.106753001301423,250,0,0,20,0.334959999999998
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.0554843273876875,-0.0554843273876875,29.6,2.88710235357183,0.0658626079796522,70.4,2.88710235357183,0.15476723672079,250,0,,20,0.0960799999999992
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats",-0.0558174752209038,-0.0558174752209038,50.4,3.16217646566412,0.0622302803159425,49.6,3.16217646566412,0.113367641154218,250,0,,20,0.0632799999999991
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_trunc",-0.0558174752209038,-0.0558174752209038,50.4,3.16217646566412,0.0622302803159425,49.6,3.16217646566412,0.113367641154218,250,0,,20,0.0689600000000028
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robust",-0.0527025790380131,-0.0527025790380131,39.2,3.08762692046821,0.061232663552712,60.8,3.08762692046821,0.126856333317124,250,0,,20,0.135400000000002
"BLF002","BL02",20,40,0,0,1,1,1,"bad_leverage",0.05,0.5,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cats_robustbase",-0.055577417750227,-0.055577417750227,49.2,3.16187286271918,0.062475432688727,50.8,3.16187286271918,0.117460175075444,250,0,,20,0.263679999999999
"BLF003","BL03",20,40,0,0,1,1,1,"bad_leverage",0.05,0.75,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"ri",-0.083609699308572,-0.083609699308572,87.2,2.11296947446005,0.0878346122339353,12.8,2.11296947446005,0.107192606345895,250,0,0,20,0.325959999999996
"BLF003","BL03",20,40,0,0,1,1,1,"bad_leverage",0.05,0.75,4,250,0.05,"ri,cr2,cats,cats_trunc,cats_robust,cats_robustbase",20260802,"cr2",-0.0841082143488834,-0.0841082143488834,60.8,3.08762692046821,0.0912633856642343,39.2,3.08762692046821,0.154977805906762,250,0,,20,0.0956399999999999
